#GeneID,Symbol,GeneInfo,Localization,Process,Function,# elements 1,casTLE Effect 1,casTLE Score 1,# elements 2,casTLE Effect 2,casTLE Score 2,Combo casTLE Effect,Combo casTLE Score,Minimum Effect 95% Credible Interval Estimate,Maximum Effect 95% Credible Interval Estimate
ENSG00000127837,AAMP,"angio-associated, migratory cell protein",cytoplasm|plasma membrane|cell surface|,angiogenesis|positive regulation of endothelial cell migration|smooth muscle cell migration|cell differentiation|,heparin binding|,10,2.7,21.9,10,1.6,51.6,2.6,70,1.9,4.7
ENSG00000184009,ACTG1,"actin, gamma 1",extracellular space|nucleus|cytosol|cytoskeleton|membrane|myofibril|filamentous actin|extracellular vesicular exosome|blood microparticle|,retina homeostasis|cellular component movement|axon guidance|cell junction assembly|adherens junction organization|Fc-gamma receptor signaling pathway involved in phagocytosis|innate immune response|sarcomere organization|cell-cell junction organization|membrane organization|,structural constituent of cytoskeleton|protein binding|ATP binding|identical protein binding|,9,-0.6,1.21,10,-1.1,5.91,-1,5.44,-2,-0.3
ENSG00000187003,ACTL7A,actin-like 7A,male germ cell nucleus|nucleus|cytoplasm|Golgi apparatus|cytoskeleton|motile cilium|protein complex|,None,structural constituent of cytoskeleton|,10,0,0,10,-0.5,3.27,-0.4,0.704,-1.7,1.1
ENSG00000189007,ADAT2,"adenosine deaminase, tRNA-specific 2",None,tRNA wobble adenosine to inosine editing|,tRNA-specific adenosine deaminase activity|zinc ion binding|,9,-0.6,0.912,10,-0.6,10.2,-0.6,10.9,-2,2.2
ENSG00000123908,AGO2,argonaute RISC catalytic component 2,cytoplasmic mRNA processing body|nucleus|cytoplasm|cytosol|polysome|mRNA cap binding complex|membrane|RISC complex|ribonucleoprotein complex|micro-ribonucleoprotein complex|,"transcription, DNA-templated|regulation of transcription, DNA-templated|translation|translational initiation|epidermal growth factor receptor signaling pathway|Notch signaling pathway|fibroblast growth factor receptor signaling pathway|post-embryonic development|gene expression|gene silencing by RNA|pre-miRNA processing|negative regulation of translation involved in gene silencing by miRNA|negative regulation of translation involved in gene silencing by miRNA|mRNA cleavage involved in gene silencing by miRNA|mRNA cleavage involved in gene silencing by miRNA|Fc-epsilon receptor signaling pathway|innate immune response|negative regulation of translational initiation|neurotrophin TRK receptor signaling pathway|phosphatidylinositol-mediated signaling|positive regulation of nuclear-transcribed mRNA poly(A) tail shortening|RNA phosphodiester bond hydrolysis, endonucleolytic|RNA phosphodiester bond hydrolysis, endonucleolytic|RNA phosphodiester bond hydrolysis, endonucleolytic|positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay|","RNA 7-methylguanosine cap binding|mRNA binding|translation initiation factor activity|endoribonuclease activity|protein binding|siRNA binding|siRNA binding|miRNA binding|poly(A) RNA binding|metal ion binding|endoribonuclease activity, cleaving siRNA-paired mRNA|",10,-0.3,3.8,10,-0.4,3.57,-0.4,7.01,-0.9,-0.1
ENSG00000162433,AK4,adenylate kinase 4,mitochondrion|mitochondrial matrix|extracellular vesicular exosome|,liver development|nucleoside diphosphate phosphorylation|ADP biosynthetic process|brain development|nucleoside triphosphate biosynthetic process|response to drug|AMP metabolic process|ATP metabolic process|GTP metabolic process|,adenylate kinase activity|nucleoside diphosphate kinase activity|ATP binding|GTP binding|nucleoside triphosphate adenylate kinase activity|,10,0,0,9,-1.1,10.6,-1,7.63,-2,-0.4
ENSG00000159423,ALDH4A1,"aldehyde dehydrogenase 4 family, member A1",mitochondrial matrix|,proline metabolic process|proline biosynthetic process|proline catabolic process|proline catabolic process to glutamate|4-hydroxyproline catabolic process|cellular nitrogen compound metabolic process|small molecule metabolic process|oxidation-reduction process|,1-pyrroline-5-carboxylate dehydrogenase activity|aldehyde dehydrogenase (NAD) activity|electron carrier activity|identical protein binding|,10,-0.1,0.0499,10,-0.4,5.3,-0.3,3.91,-1.2,0.3
ENSG00000149925,ALDOA,"aldolase A, fructose-bisphosphate",extracellular region|extracellular space|nucleus|cytosol|actin cytoskeleton|membrane|platelet alpha granule lumen|M band|I band|extracellular vesicular exosome|,"platelet degranulation|carbohydrate metabolic process|fructose metabolic process|glucose metabolic process|gluconeogenesis|glycolytic process|glycolytic process|glycolytic process|ATP biosynthetic process|striated muscle contraction|actin filament organization|blood coagulation|regulation of cell shape|platelet activation|fructose 1,6-bisphosphate metabolic process|small molecule metabolic process|muscle cell cellular homeostasis|protein homotetramerization|",actin binding|fructose-bisphosphate aldolase activity|protein binding|cytoskeletal protein binding|tubulin binding|identical protein binding|poly(A) RNA binding|fructose binding|,7,-2.9,27.9,7,-2.1,55.3,-2.8,80.8,-4.4,-2
ENSG00000214160,ALG3,"ALG3, alpha-1,3- mannosyltransferase",endoplasmic reticulum membrane|endoplasmic reticulum membrane|integral component of membrane|,protein glycosylation|dolichol-linked oligosaccharide biosynthetic process|protein N-linked glycosylation via asparagine|post-translational protein modification|cellular protein metabolic process|mannosylation|mannosylation|,"alpha-1,3-mannosyltransferase activity|dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase activity|",10,0.7,3.47,10,0.5,3.94,0.6,6.88,0,1.4
ENSG00000100601,ALKBH1,"alkB, alkylation repair homolog 1 (E. coli)",nuclear euchromatin|mitochondrion|,"DNA catabolic process, endonucleolytic|DNA catabolic process, endonucleolytic|in utero embryonic development|neuron migration|placenta development|DNA repair|DNA dealkylation involved in DNA repair|neuron projection development|RNA repair|negative regulation of neuron apoptotic process|developmental growth|positive chemotaxis|oxidative demethylation|DNA demethylation|",DNA-(apurinic or apyrimidinic site) lyase activity|ferrous iron binding|chemoattractant activity|methylcytosine dioxygenase activity|,10,-1.2,7.59,10,-0.2,1.48,-0.4,7.05,-2,-0.1
ENSG00000182287,AP1S2,"adaptor-related protein complex 1, sigma 2 subunit",Golgi membrane|lysosomal membrane|cytosol|coated pit|AP-type membrane coat adaptor complex|cytoplasmic vesicle membrane|trans-Golgi network membrane|,intracellular protein transport|post-Golgi vesicle-mediated transport|viral process|antigen processing and presentation of exogenous peptide antigen via MHC class II|regulation of defense response to virus by virus|membrane organization|,protein transporter activity|,10,-0.6,1.15,10,-0.1,0.177,-0.4,0.244,-1.8,0.9
ENSG00000100823,APEX1,APEX nuclease (multifunctional DNA repair enzyme) 1,nucleus|nucleoplasm|nucleoplasm|transcription factor complex|nucleolus|cytoplasm|mitochondrion|endoplasmic reticulum|centrosome|ribosome|nuclear speck|perinuclear region of cytoplasm|,"DNA catabolic process, endonucleolytic|DNA catabolic process, endonucleolytic|DNA catabolic process, endonucleolytic|DNA catabolic process, exonucleolytic|DNA repair|DNA repair|base-excision repair|base-excision repair|DNA recombination|transcription, DNA-templated|regulation of transcription, DNA-templated|aging|negative regulation of smooth muscle cell migration|response to drug|regulation of mRNA stability|cell redox homeostasis|positive regulation of DNA repair|oxidation-reduction process|cellular response to hydrogen peroxide|cellular response to cAMP|cellular response to peptide hormone stimulus|DNA demethylation|nucleic acid phosphodiester bond hydrolysis|nucleic acid phosphodiester bond hydrolysis|RNA phosphodiester bond hydrolysis, endonucleolytic|RNA phosphodiester bond hydrolysis, endonucleolytic|positive regulation of G1/S transition of mitotic cell cycle|","DNA binding|damaged DNA binding|transcription coactivator activity|transcription corepressor activity|DNA-(apurinic or apyrimidinic site) lyase activity|DNA-(apurinic or apyrimidinic site) lyase activity|endonuclease activity|endodeoxyribonuclease activity|RNA-DNA hybrid ribonuclease activity|phosphodiesterase I activity|uracil DNA N-glycosylase activity|protein binding|phosphoric diester hydrolase activity|double-stranded DNA 3'-5' exodeoxyribonuclease activity|3'-5' exonuclease activity|3'-5' exonuclease activity|oxidoreductase activity|site-specific endodeoxyribonuclease activity, specific for altered base|chromatin DNA binding|protein complex binding|poly(A) RNA binding|metal ion binding|NF-kappaB binding|",10,0,0,10,0.5,1.73,0,0,-0.9,1.9
ENSG00000128383,APOBEC3A,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3A",nucleus|cytoplasm|,cytidine deamination|cytidine deamination|negative regulation of transposition|clearance of foreign intracellular DNA by conversion of DNA cytidine to uridine|negative regulation of viral genome replication|innate immune response|defense response to virus|DNA cytosine deamination|DNA cytosine deamination|cellular response to xenobiotic stimulus|DNA demethylation|,cytidine deaminase activity|cytidine deaminase activity|protein binding|zinc ion binding|deoxycytidine deaminase activity|,10,0,0,10,0,0,0,0,-1.8,1.3
ENSG00000179750,APOBEC3B,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B",nucleus|,metabolic process|metabolic process|negative regulation of transposition|innate immune response|defense response to virus|,zinc ion binding|poly(A) RNA binding|deoxycytidine deaminase activity|,10,-0.2,0.318,10,-0.4,0.866,-0.2,0.751,-1.9,0.5
ENSG00000244509,APOBEC3C,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3C",nucleus|cytoplasm|,cytidine deamination|negative regulation of transposition|viral process|negative regulation of viral genome replication|innate immune response|defense response to virus|DNA demethylation|,"protein binding|zinc ion binding|hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines|poly(A) RNA binding|",10,0.4,2.75,10,-0.4,2.58,-0.1,0.363,-1.6,1.2
ENSG00000243811,APOBEC3D,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3D",cytoplasmic mRNA processing body|cytoplasm|,negative regulation of transposition|innate immune response|negative regulation of single stranded viral RNA replication via double stranded DNA intermediate|defense response to virus|DNA cytosine deamination|,"zinc ion binding|hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines|",10,0,0,10,-0.2,0.407,-0.1,0.149,-2,0.7
ENSG00000128394,APOBEC3F,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3F",cytoplasmic mRNA processing body|cytoplasm|ribonucleoprotein complex|apolipoprotein B mRNA editing enzyme complex|,positive regulation of defense response to virus by host|cytidine deamination|negative regulation of transposition|base conversion or substitution editing|negative regulation of viral genome replication|innate immune response|negative regulation of single stranded viral RNA replication via double stranded DNA intermediate|negative regulation of viral process|defense response to virus|DNA cytosine deamination|DNA demethylation|,RNA binding|cytidine deaminase activity|protein binding|zinc ion binding|poly(A) RNA binding|,10,-0.4,0.633,10,-0.4,4.66,-0.4,5.06,-1.1,0.2
